# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
1564200,0
1565100,0
1566000,0
1566900,0
1567800,0
1568700,0
1569600,0
1570500,0
1571400,0
1572300,0
1573200,0
1574100,0
1575000,0
1575900,0
1576800,0
1577700,0
1578600,0
1579500,0
1580400,0
1581300,0
1582200,0
1583100,0
1584000,0
1584900,4.768612
1585800,7.388537
1586700,13.12443
1587600,19.554781
1588500,23.042779
1589400,26.719273
1590300,30.589223
1591200,34.657589
1592100,34.657589
1593000,34.657589
1593900,34.657589
1594800,34.657589
1595700,30.589223
1596600,30.589223
1597500,26.719273
1598400,23.042779
1599300,23.042779
1600200,19.554781
1601100,16.250318
1602000,13.12443
1602900,7.388537
1603800,2.307419
1604700,0
1605600,0
1606500,0
1607400,0
1608300,0
1609200,0
1610100,0
1611000,0
1611900,0
1612800,0
1613700,0
1614600,0
1615500,0
1616400,0
1617300,0
1618200,0
1619100,0
1620000,0
1620900,0
1621800,0
1622700,0
1623600,0
1624500,0
1625400,0
1626300,0
1627200,0
1628100,0
1629000,0
1629900,0
1630800,0
1631700,0
1632600,0
1633500,0
1634400,0
1635300,0
1636200,0
1637100,0
1638000,0
1638900,0
1639800,0
1640700,0
1641600,0
1642500,0
1643400,0
1644300,0
1645200,0
1646100,0
1647000,0
1647900,0
1648800,0
1649700,0
1650600,0
1651500,0
1652400,0
1653300,0
1654200,0
1655100,0
1656000,0
1656900,0
1657800,0
1658700,0
1659600,0
1660500,0
1661400,0
1662300,0
1663200,0
1664100,0
1665000,0
1665900,0
1666800,0
1667700,0
1668600,0
1669500,0
1670400,0
1671300,0
1672200,0
1673100,0
1674000,0
1674900,0
1675800,0
1676700,0
1677600,0
1678500,0
1679400,0
1680300,0
1681200,0
1682100,0
1683000,0
1683900,0
1684800,0
1685700,0
1686600,0
1687500,0
1688400,0
1689300,0
1690200,0
1691100,0
1692000,0
1692900,0
1693800,0
1694700,0
1695600,0
1696500,0
1697400,0
1698300,0
1699200,0
1700100,0
1701000,0
1701900,0
1702800,0
1703700,0
1704600,0
1705500,0
1706400,0
1707300,0
